laptop_description
"Intel Core i5 Processor (9th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB SSD, 39.62 cm (15.65 inch) Display, Acer Collection, Acer Product Registration , Quick Access, Acer Care Center, 1 Year International Travelers Warranty (ITW)"
"Intel Core i3 Processor (2nd   Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 35.56 cm Display, Microsoft Office Home and Student 2019, 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
"Intel Core i5 Processor (  10th Gen), 64 bit Windows 10 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home and Student 2019, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen ), 256 GB SSD, 64 bit Windows 10 Operating System, 8 GB DDR4 RAM, 35.56 cm (14 inch) Display, Microsoft Office Home and Student 2019, 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
"Intel Core i3 Processor, 4 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 39.62 cm (15.6 inch) Display, My Asus, Splendid, 1 Year Onsite Warranty"
"Intel Core i3 Processor (10th Gen), 4 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 39.62 cm (15.65 inch) Display, My Asus, Splendid, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 35.56 cm (14 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB HDD, 35.56 cm (14 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i3 Processor (10th Gen), 64 bit Windows 10 Operating System, 256 GB SSD, 35.56 cm (14 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 1 TB HDD, 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 35.56 cm (14.2 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i3 Processor (10th Gen), 4 GB DDR4 RAM, 64 bit Windows 10 Operating System, 256 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home and Student 2019, 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
"Intel Core i3 Processor (10th Gen), 4 GB DDR4 RAM, 64 bit Windows 10 Operating System, 256 GB SSD, 35.56 cm (14.3 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 35.56 cm (14 inch) Display, Asus Splendid, Tru2Life, 1 Year Onsite Warranty"
"Intel Core i3 Processor (8th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 1 TB HDD, 39.62 cm (15.6 inch) Display, Microsoft Office Home and Student 2019, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB SSD, 35.56 cm (14 inch) Display, Microsoft Office Home and Student 2019, 1 Year Onsite Warranty"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, My Asus, Splendid, 1 Year Onsite Warranty"
"Intel Core i5 Processor (8th Gen), 8 GB DDR3 RAM, 64 bit Windows 10 Operating System, 256 GB SSD, 33.78 cm (13.3 inch) Display, 18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com)"
"Intel Core i7 Processor (9th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home and Student 2019, 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
"Intel Core i5 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 256 GB SSD, 39.62 cm (15.6 inch) Display, 1 Year Onsite Warranty"
"Intel Core i7 Processor (10th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB HDD, 39.62 cm (15.6 inch) Display, 1 Year Onsite Warranty"
"Intel Core i7 Processor (9th Gen), 8 GB DDR4 RAM, 64 bit Windows 10 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3, 2 Years Carry In Warranty"
