Player,Position,Team,Salary
Kevin Durant,PF,Brooklyn Nets,40918900
Paul George,SF,Los Angeles Clippers,39344970
Kristaps Porziņģis,PF,Dallas Mavericks,31650600
Karl-Anthony Towns,C,Minnesota Timberwolves,31610000
DeMar DeRozan,PF,Chicago Bulls,26000000
Jarrett Allen,C,Cleveland Cavaliers,20000000
Aaron Gordon,PF,Denver Nuggets,16409091
Joe Ingles,SF,Utah Jazz,14000000
Christian Wood,C,Houston Rockets,13666667
Derrick Rose,PG,New York Knicks,13445120
Terrence Ross,SG,Orlando Magic,12500000
Nicolas Batum,PF,Charlotte Hornets,12213507
Devonte' Graham,PG,New Orleans Pelicans,11000000
Larry Nance Jr.,PF,Portland Trail Blazers,10690909
Serge Ibaka,C,Los Angeles Clippers,9742000
Ja Morant,PG,Memphis Grizzlies,9603360
Reggie Bullock,SF,Dallas Mavericks,9536000
Kemba Walker,PG,Oklahoma City Thunder,8729020
Mo Bamba,C,Orlando Magic,7568742
Justin Holiday,SF,Indiana Pacers,6006420
Mikal Bridges,SF,Phoenix Suns,5557725
Jonathan Kuminga,SF,Golden State Warriors,5466360
Dewayne Dedmon,C,Detroit Pistons,5256308
Hamidou Diallo,SG,Detroit Pistons,5200000
Tyler Herro,SG,Miami Heat,4004280
Dorian Finney-Smith,PF,Dallas Mavericks,4000000
Kira Lewis Jr.,PG,New Orleans Pelicans,3822240
Robert Williams,C,Boston Celtics,3661976
Alperen Şengün,C,Houston Rockets,3214680
Frank Jackson,PG,Detroit Pistons,3000000
Brandon Clarke,PF,Memphis Grizzlies,2726880
James Johnson,PF,Brooklyn Nets,2641691
Rajon Rondo,PG,Memphis Grizzlies,2641691
Paul Millsap,PF,Brooklyn Nets,2641691
Grant Williams,PF,Boston Celtics,2617800
Keon Johnson,SG,Los Angeles Clippers,2553120
Raul Neto,PG,Washington Wizards,2089448
Killian Tillie,C,Memphis Grizzlies,2000000
Rodney McGruder,SG,Denver Nuggets,1939350
Damion Lee,SG,Golden State Warriors,1910860
Malik Monk,SG,Los Angeles Lakers,1789256
Jaylen Nowell,SG,Minnesota Timberwolves,1782621
Isaiah Roby,PF,Oklahoma City Thunder,1782621
Eric Paschall,PF,Utah Jazz,1782621
Jalen McDaniels,SF,Charlotte Hornets,1782621
Keita Bates-Diop,SF,San Antonio Spurs,1729217
Kevin Pangos,PG,Cleveland Cavaliers,1669178
Isaiah Joe,SG,Philadelphia 76ers,1517981
Jae'Sean Tate,SF,Houston Rockets,1517981
Saben Lee,PG,Detroit Pistons,1489065
