id,genre
1,(no genres listed)
2,Documentary
3,
4,(no genres listed)
5,
6,Drama
7,Drama|Romance
8,Drama|Romance
9,Drama|Mystery|Thriller
10,Drama|Sci-Fi|Thriller
11,Documentary
12,Animation|Children
13,
14,Drama
15,Comedy|Romance
16,
17,Documentary
18,
19,Drama|War
20,Comedy
21,Comedy
22,
23,Children|Crime|Drama
24,Drama|War
25,Documentary
26,Comedy
27,
28,
29,Drama|War
30,
31,Horror
32,Drama
33,
34,Comedy
35,
36,Adventure|Comedy|Documentary|Fantasy
37,
38,Drama|Horror|Mystery|Thriller
39,Crime|Thriller
40,
41,
42,Action|Mystery|Romance|Western
43,Drama|War
44,
45,Action|Comedy|Drama
46,Comedy|Drama
47,
48,Documentary
49,
50,
51,
52,Animation|Drama|War
53,Action|Adventure|Sci-Fi|IMAX
54,Comedy|Drama|Romance
55,Drama|Romance
56,Crime|Drama|Thriller
57,
58,
59,Drama
60,
61,Comedy|Crime
62,Action|Crime|Thriller
63,
64,Western
65,
66,Drama|Romance
67,
68,Comedy|Romance
69,Adventure
70,Action
71,Horror
72,Comedy
73,
74,Drama
75,
76,
77,Drama
78,Drama
79,Documentary|Drama
80,Drama|War
81,Children|Fantasy|Horror|Romance
82,
83,Drama|Romance
84,
85,Comedy|Romance
86,Documentary|Musical
87,
88,Comedy
89,Comedy
90,
91,Action|Adventure|Romance|Western
92,Drama
93,
94,
95,Drama|Musical
96,Comedy
97,Comedy|Crime|Horror|Thriller
98,Drama|Romance|Thriller
99,
100,Comedy|Drama
101,Drama|Romance
102,Drama|Romance
103,Animation
104,Comedy|Drama
105,
106,Drama
107,Drama
108,
109,Comedy
110,
111,Drama
112,
113,Comedy|Romance|Thriller
114,Drama
115,
116,
117,
118,Children|Comedy|Romance
119,Drama
120,Drama
121,Documentary
122,Comedy|Documentary
123,Children|Comedy|Musical
124,
125,Drama
126,Action|Adventure|Crime|Drama|Thriller
127,Comedy|Crime
128,
129,Action|Fantasy|Thriller|IMAX
130,
131,Documentary
132,
133,Drama|Romance
134,
135,
