id,animal
1,Long-crested hawk eagle
2,Euro wallaby
3,Brown brocket
4,"Peccary, white-lipped"
5,"Capuchin, brown"
6,"Parrot, hawk-headed"
7,"Weaver, sociable"
8,
9,
10,
11,
12,"Snake, racer"
13,Brush-tailed phascogale
14,
15,Lapwing (unidentified)
16,
17,"Lourie, grey"
18,"Mongoose, banded"
19,"Loris, slender"
20,
21,
22,
23,Topi
24,"Seal, northern fur"
25,"Weaver, red-billed buffalo"
26,Blue wildebeest
27,"Antechinus, brown"
28,"Squirrel, antelope ground"
29,Long-tailed jaeger
30,Asian water dragon
31,"Stork, marabou"
32,Black-throated butcher bird
33,Civet (unidentified)
34,
35,"Eagle, pallas's fish"
36,"Jacana, african"
37,Pied crow
38,Burmese black mountain tortoise
39,"Otter, giant"
40,
41,
42,
43,"Bear, grizzly"
44,"Lion, asian"
45,
46,Yellow-billed stork
47,"Goose, andean"
48,Japanese macaque
49,Red-headed woodpecker
50,
51,
52,
53,
54,
55,Woylie
56,Jabiru stork
57,
58,Ornate rock dragon
59,Netted rock dragon
60,"Grouse, greater sage"
61,Comb duck
62,Margay
63,Australian pelican
64,Rhesus macaque
65,Arctic lemming
66,Kongoni
67,"Partridge, coqui"
68,"Crow, american"
69,
70,Dusky rattlesnake
71,
72,"Butterfly, tropical buckeye"
73,Galapagos penguin
74,Indian leopard
75,"Lourie, grey"
76,"White-eye, cape"
77,White spoonbill
78,Steenbok
79,"Stork, white"
80,
81,"Jackal, silver-backed"
82,"Camel, dromedary"
83,Caracal
84,"Deer, white-tailed"
85,"Tortoise, desert"
86,"Heron, green-backed"
87,Caribou
88,Giant armadillo
89,"Duiker, gray"
90,
91,"Pigeon, feral rock"
92,"Insect, stick"
93,
94,Greater sage grouse
95,"Puma, south american"
96,
97,"Caracara, yellow-headed"
98,"Stork, european"
99,"Cat, ringtail"
100,"Owl, great horned"
101,
102,
103,Pocket gopher (unidentified)
104,
105,Southern black-backed gull
106,Mountain lion
107,Springbuck
108,Palm squirrel
109,"Boa, columbian rainbow"
110,Paca
111,
112,"Dik, kirk's dik"
113,
114,"Mynah, indian"
115,Frilled dragon
116,"Boubou, southern"
117,Spur-winged goose
118,Yellow-billed stork
119,"Sloth, hoffman's"
120,
121,"Zebra, common"
122,"Sparrow, house"
123,
124,
125,Short-nosed bandicoot
126,Pied cormorant
127,"Cat, jungle"
128,Little brown dove
129,"Dove, galapagos"
130,Prehensile-tailed porcupine
131,Nubian bee-eater
132,
133,"Squirrel, uinta ground"
134,Gecko (unidentified)
135,"Monkey, red howler"
136,"Vulture, egyptian"
137,"Stork, greater adjutant"
138,Brush-tailed bettong
139,
140,"Jackal, silver-backed"
141,Western lowland gorilla
142,
143,"Squirrel, nelson ground"
144,Ostrich
145,"Macaque, japanese"
146,
147,"Cormorant, pied"
148,Caracal
149,"Porcupine, crested"
150,Magistrate black colobus
151,Turkey vulture
152,"Squirrel, arctic ground"
