id,color
1,Red
2,Khaki
3,Red
4,Yellow
5,Fuscia
6,Maroon
7,Puce
8,Khaki
9,Green
10,Green
11,Aquamarine
12,Yellow
13,Khaki
14,Orange
15,Turquoise
16,Fuscia
17,Orange
18,Blue
19,Pink
20,Purple
21,Puce
22,Yellow
23,Khaki
24,Goldenrod
25,Fuscia
26,Indigo
27,Red
28,Mauv
29,
30,Crimson
31,Mauv
32,Blue
33,Fuscia
34,Crimson
35,Purple
36,Fuscia
37,Crimson
38,Yellow
39,Purple
40,Yellow
41,Mauv
42,Mauv
43,Mauv
44,Green
45,Maroon
46,Fuscia
47,Maroon
48,Goldenrod
49,Fuscia
50,Crimson
51,Aquamarine
52,Violet
53,Goldenrod
54,Turquoise
55,Khaki
56,Yellow
57,Green
58,Pink
59,Green
60,Red
61,Turquoise
62,Puce
63,Aquamarine
64,Pink
65,Violet
66,Khaki
67,Aquamarine
68,Teal
69,Khaki
70,Green
71,Violet
72,Orange
73,Blue
74,Violet
75,Purple
76,Teal
77,Orange
78,Green
79,Maroon
80,Maroon
81,Turquoise
82,Goldenrod
83,Red
84,Goldenrod
85,Red
86,Fuscia
87,Blue
88,Indigo
89,Pink
90,Orange
91,Yellow
92,Goldenrod
93,Aquamarine
94,Mauv
95,Green
96,Turquoise
97,Fuscia
98,Crimson
99,Aquamarine
100,Purple
101,Blue
102,Red
103,Yellow
104,Puce
105,Indigo
106,Puce
107,Pink
108,Pink
109,Green
110,Goldenrod
111,
112,Pink
113,Mauv
114,Crimson
115,Pink
116,Teal
117,Maroon
118,Green
119,Maroon
120,Fuscia
121,Goldenrod
122,Turquoise
123,Violet
124,Crimson
125,Mauv
126,Pink
127,Goldenrod
128,Puce
129,Red
130,Orange
131,Crimson
132,Purple
133,Orange
134,Goldenrod
135,Red
136,Crimson
137,Goldenrod
138,Crimson
139,Violet
140,Aquamarine
141,Goldenrod
142,Fuscia
143,Teal
144,Blue
145,Orange
146,Puce
147,Red
148,Aquamarine
149,Yellow
150,Aquamarine
151,Goldenrod
152,Red
153,Blue
154,Green
155,Puce
156,Mauv
157,Violet
158,Turquoise
159,Turquoise
160,Turquoise
161,Fuscia
162,Pink
163,Maroon
164,Yellow
165,
166,Fuscia
167,Mauv
168,Orange
169,Pink
170,Goldenrod
171,Red
172,Mauv
173,Puce
174,Aquamarine
175,
176,Green
177,Indigo
178,Orange
179,Yellow
180,Goldenrod
181,Indigo
182,Puce
183,Khaki
184,Violet
185,Fuscia
186,Red
187,Yellow
188,Yellow
189,Maroon
190,Orange
191,Aquamarine
192,Teal
193,Purple
