Login Id,Time
466,2017-01-07 18:24:07
466,2017-01-07 18:24:55
458,2017-01-07 18:25:18
458,2017-01-07 18:26:21
592,2017-01-07 19:09:59
393,2017-01-08 00:41:19
592,2017-01-08 09:14:27
592,2017-01-08 11:18:08
636,2017-01-08 11:27:24
458,2017-01-09 11:13:12
458,2017-01-09 11:34:02
413,2017-01-09 12:29:25
413,2017-01-09 12:40:39
592,2017-01-09 12:47:22
413,2017-01-09 14:08:04
500,2017-01-09 14:33:42
585,2017-01-09 15:35:26
492,2017-01-09 15:47:49
470,2017-01-09 16:11:26
393,2017-01-09 16:22:48
592,2017-01-09 16:31:07
592,2017-01-09 17:03:37
592,2017-01-09 20:06:54
639,2017-01-09 20:16:20
592,2017-01-10 10:55:06
458,2017-01-10 12:14:11
458,2017-01-10 12:33:53
462,2017-01-10 12:34:59
462,2017-01-10 12:38:11
462,2017-01-10 12:38:47
462,2017-01-10 12:49:20
458,2017-01-10 12:50:25
592,2017-01-10 13:03:28
413,2017-01-10 14:36:23
640,2017-01-10 15:14:35
413,2017-01-10 15:22:45
458,2017-01-10 15:33:51
492,2017-01-10 16:07:34
592,2017-01-10 17:27:58
470,2017-01-10 17:29:43
554,2017-01-10 17:37:47
470,2017-01-10 17:41:07
466,2017-01-10 19:12:47
592,2017-01-11 11:33:57
458,2017-01-11 11:43:44
478,2017-01-11 11:44:13
478,2017-01-11 11:51:12
500,2017-01-11 12:03:28
458,2017-01-11 12:03:35
500,2017-01-11 12:11:34
458,2017-01-11 12:15:33
500,2017-01-11 12:18:55
458,2017-01-11 12:28:29
528,2017-01-11 13:46:09
470,2017-01-11 14:48:52
500,2017-01-11 15:00:40
500,2017-01-11 15:05:27
470,2017-01-11 15:14:38
458,2017-01-11 15:15:52
500,2017-01-11 15:33:35
413,2017-01-11 15:40:45
500,2017-01-11 15:43:44
458,2017-01-11 15:56:44
450,2017-01-11 16:22:00
470,2017-01-11 17:12:28
500,2017-01-11 17:20:47
470,2017-01-12 07:20:13
450,2017-01-12 10:21:34
500,2017-01-12 10:41:22
640,2017-01-12 11:49:54
592,2017-01-12 12:34:17
478,2017-01-12 14:30:56
458,2017-01-12 15:00:02
592,2017-01-12 15:08:26
470,2017-01-12 15:22:59
536,2017-01-12 15:57:01
511,2017-01-12 18:48:42
393,2017-01-12 18:52:14
592,2017-01-13 11:01:21
450,2017-01-13 11:16:38
450,2017-01-13 11:59:42
458,2017-01-13 12:03:58
450,2017-01-13 12:04:25
500,2017-01-13 12:17:52
458,2017-01-13 12:49:54
635,2017-01-13 13:06:43
492,2017-01-13 13:38:47
500,2017-01-13 13:55:59
635,2017-01-13 13:57:08
470,2017-01-13 14:02:52
450,2017-01-13 15:04:56
635,2017-01-13 17:39:20
485,2017-01-13 17:41:59
458,2017-01-14 10:40:12
413,2017-01-14 11:57:18
450,2017-01-14 14:05:01
393,2017-01-14 17:22:19
470,2017-01-15 07:05:16
470,2017-01-15 07:35:57
450,2017-01-15 11:59:37
592,2017-01-15 21:11:43
393,2017-01-15 23:47:12
541,2017-01-16 10:24:46
450,2017-01-16 11:08:25
458,2017-01-16 11:21:17
413,2017-01-16 11:57:55
492,2017-01-16 12:06:31
474,2017-01-16 12:55:51
592,2017-01-16 13:11:32
500,2017-01-16 13:14:01
500,2017-01-16 14:24:55
466,2017-01-16 15:21:20
458,2017-01-16 16:32:19
635,2017-01-16 17:51:14
393,2017-01-16 18:30:13
458,2017-01-17 11:17:36
643,2017-01-17 11:18:42
458,2017-01-17 11:23:49
470,2017-01-17 13:58:26
592,2017-01-17 14:05:24
466,2017-01-17 14:06:57
458,2017-01-17 15:31:15
450,2017-01-17 15:34:06
450,2017-01-17 17:41:30
500,2017-01-17 17:43:39
466,2017-01-17 17:47:23
450,2017-01-17 17:59:20
500,2017-01-17 18:09:54
458,2017-01-17 18:46:10
450,2017-01-18 10:53:40
458,2017-01-18 11:31:35
478,2017-01-18 11:34:44
500,2017-01-18 12:02:56
458,2017-01-18 12:11:36
500,2017-01-18 12:12:08
644,2017-01-18 12:14:12
