red	orange	yellow	green	purple	Factory
10	15	11	7	18	Yorkville
5	12	17	15	10	Yorkville
16	11	15	11	9	Waco
15	8	13	16	7	Waco
11	14	20	8	7	Waco
10	11	11	17	11	Waco
9	17	6	17	14	Waco
14	12	13	11	12	Yorkville
11	11	14	10	17	Yorkville
12	6	18	11	12	Yorkville
16	7	5	22	10	Yorkville
14	9	13	16	10	Yorkville
15	7	11	11	17	Waco
20	2	8	22	7	Waco
15	11	7	11	15	Waco
16	13	15	8	12	Yorkville
10	13	15	11	14	Yorkville
12	10	9	8	20	Yorkville
9	17	10	15	11	Waco
9	11	16	12	14	Yorkville
13	10	12	17	8	Waco
10	14	9	13	14	Yorkville
9	12	20	13	8	Waco
15	11	12	15	8	Waco
19	8	8	14	14	Waco
12	14	13	15	9	Waco
12	9	11	13	13	Waco
13	9	15	13	11	Yorkville
12	10	12	16	9	Yorkville
12	9	13	12	13	Yorkville
9	9	11	17	18	Yorkville
13	9	13	10	15	Yorkville
15	10	11	11	18	Waco
18	11	9	20	6	Yorkville
9	10	15	11	16	Yorkville
13	10	9	12	14	Yorkville
5	22	14	10	8	Yorkville
12	13	9	10	16	Waco
14	9	9	11	18	Yorkville
11	18	8	8	17	Yorkville
8	13	11	15	15	Waco
14	13	12	10	10	Yorkville
12	9	14	8	16	Yorkville
16	15	13	3	11	Yorkville
13	12	14	9	14	Yorkville
8	13	16	11	12	Yorkville
15	9	15	7	16	Yorkville
16	10	17	12	6	Waco
9	12	11	10	18	Yorkville
14	8	19	7	13	Yorkville
13	12	15	8	13	Yorkville
22	10	12	9	7	Yorkville
6	15	16	13	13	Yorkville
18	14	11	6	12	Waco
11	13	15	10	14	Yorkville
15	10	10	9	18	Waco
9	11	24	6	10	Yorkville
10	11	13	8	16	Waco
11	12	15	8	17	Waco
13	14	12	11	10	Yorkville
13	12	10	8	18	Yorkville
14	15	12	4	17	Yorkville
14	14	11	10	12	Waco
11	5	19	12	14	Yorkville
12	9	14	6	18	Yorkville
12	9	17	6	15	Waco
12	15	17	9	7	Waco
4	16	16	9	14	Waco
13	12	11	4	21	Yorkville
14	14	10	11	12	Yorkville
10	17	8	10	14	Yorkville
12	12	14	7	18	Yorkville
12	15	12	11	10	Waco
13	9	9	17	12	Waco
9	12	8	16	13	Waco
8	10	11	13	17	Waco
7	16	11	15	10	Waco
11	12	18	11	9	Yorkville
9	14	12	12	13	Yorkville
6	11	12	12	15	Waco
12	9	9	13	15	Waco
9	15	11	15	9	Yorkville
7	13	10	13	16	Yorkville
6	15	15	13	11	Waco
11	10	8	16	14	Yorkville
7	16	13	8	15	Yorkville
13	10	16	17	5	Yorkville
8	12	13	11	16	Waco
7	18	14	8	11	Waco
7	15	14	16	7	Yorkville
13	12	9	13	15	Waco
9	13	16	10	12	Waco
8	13	15	9	14	Yorkville
11	12	14	11	11	Yorkville
13	15	14	9	7	Waco
11	19	14	9	7	Waco
13	20	15	5	4	Yorkville
12	8	16	13	9	Yorkville
8	15	12	15	10	Yorkville
11	12	12	12	13	Waco
4	16	15	15	10	Waco
12	8	17	15	9	Yorkville
7	13	14	13	11	Yorkville
14	14	9	11	11	Yorkville
13	17	6	14	12	Waco
10	9	15	16	10	Yorkville
10	13	13	15	9	Yorkville
14	5	17	13	10	Yorkville
16	12	9	9	14	Waco
16	11	13	10	14	Yorkville
12	11	17	11	9	Yorkville
15	8	10	12	16	Waco
15	10	17	10	8	Waco
9	13	10	19	10	Waco
20	13	10	11	6	Yorkville
16	16	13	9	7	Yorkville
17	11	13	7	12	Waco
15	8	14	13	10	Yorkville
5	12	8	16	20	Waco
11	10	19	8	12	Yorkville
16	13	11	12	8	Yorkville
18	14	4	14	12	Waco
10	14	13	15	7	Waco
13	11	14	11	12	Yorkville
15	13	17	6	10	Yorkville
14	6	16	11	14	Yorkville
10	9	14	15	11	Yorkville
15	12	9	12	13	Yorkville
13	11	12	12	12	Waco
13	6	17	7	16	Waco
12	13	12	11	11	Yorkville
10	17	13	7	13	Waco
13	11	10	13	12	Waco
12	12	16	12	9	Waco
16	10	12	10	13	Yorkville
12	11	9	10	16	Waco
15	13	12	13	8	Waco
17	13	11	10	9	Waco
15	8	13	10	13	Waco
15	8	16	8	12	Yorkville
9	13	16	9	12	Yorkville
14	10	10	14	13	Waco
8	11	15	10	13	Waco
11	16	8	15	10	Yorkville
10	11	10	16	14	Waco
12	9	12	15	11	Waco
14	11	11	14	8	Waco
18	8	9	10	14	Waco
14	10	8	14	12	Yorkville
8	11	16	10	13	Waco
19	10	5	11	13	Yorkville
15	9	7	14	16	Waco
18	12	9	12	7	Waco
13	13	7	13	15	Waco
11	9	8	13	19	Waco
17	8	12	10	10	Waco
15	9	13	12	11	Yorkville
15	10	11	12	11	Waco
18	8	17	9	6	Yorkville
10	16	10	9	15	Waco
12	7	14	15	9	Yorkville
18	9	6	13	14	Waco
14	11	7	7	19	Yorkville
13	11	16	10	9	Yorkville
13	10	8	14	13	Waco
15	11	18	10	7	Waco
18	9	8	14	11	Yorkville
15	8	13	10	12	Yorkville
18	13	7	9	12	Yorkville
13	16	5	13	11	Yorkville
12	13	14	7	12	Yorkville
10	9	9	18	12	Yorkville
12	8	15	15	9	Yorkville
14	7	12	6	21	Waco
17	8	11	11	11	Yorkville
17	8	8	12	15	Yorkville
15	4	13	13	15	Yorkville
15	15	5	12	13	Waco
12	7	13	20	9	Yorkville
16	9	10	10	14	Yorkville
10	13	7	11	15	Yorkville
11	11	10	12	14	Waco
14	18	10	7	7	Waco
16	13	10	9	11	Waco
12	11	11	11	13	Waco
10	11	13	14	10	Yorkville
8	14	9	14	13	Yorkville
14	13	8	9	12	Waco
17	15	9	9	7	Waco
13	15	13	7	11	Waco
12	12	8	15	11	Waco
12	14	10	13	9	Yorkville
10	16	16	6	12	Yorkville
13	8	12	8	15	Waco
14	16	9	15	6	Waco
14	12	10	15	7	Waco
9	12	13	6	17	Yorkville
11	11	12	12	11	Yorkville
14	9	9	10	16	Waco
8	18	13	10	8	Waco
8	16	14	13	6	Yorkville
16	10	10	10	12	Waco
19	11	11	5	13	Waco
15	7	14	6	17	Yorkville
11	15	7	13	12	Waco
10	15	13	11	11	Yorkville
16	14	7	10	10	Yorkville
16	12	12	3	17	Waco
14	14	11	9	11	Yorkville
13	17	20	6	5	Waco
9	17	10	10	13	Waco
8	14	9	9	17	Yorkville
6	20	14	9	9	Yorkville
11	14	15	9	10	Yorkville
12	14	13	10	11	Yorkville
17	7	14	11	9	Yorkville
15	14	8	7	13	Yorkville
15	14	15	7	7	Yorkville
15	9	10	9	14	Yorkville
12	15	10	8	14	Yorkville
11	5	10	13	17	Yorkville
15	13	10	12	8	Waco
15	11	17	8	5	Yorkville
18	11	10	9	9	Waco
11	17	11	9	10	Waco
15	11	12	10	11	Yorkville
8	14	12	10	13	Waco
12	11	10	17	10	Yorkville
13	13	13	9	11	Yorkville
14	11	6	14	11	Waco
12	20	7	9	11	Waco
8	13	15	10	12	Waco
14	11	7	11	14	Waco
19	9	12	7	13	Waco
12	15	14	7	11	Yorkville
17	14	12	9	5	Waco
13	14	12	11	8	Waco
9	12	12	8	15	Yorkville
9	12	9	7	22	Yorkville
13	16	11	8	10	Waco
13	14	8	7	15	Waco
8	17	15	10	10	Yorkville
10	18	10	12	10	Yorkville
14	10	11	12	11	Yorkville
9	14	11	10	14	Yorkville
12	11	17	8	12	Yorkville
10	15	8	7	18	Yorkville
12	13	17	9	9	Yorkville
15	5	12	16	12	Yorkville
14	10	18	8	11	Yorkville
12	11	9	9	19	Waco
14	17	10	11	7	Waco
9	8	12	11	18	Waco
12	8	13	10	15	Yorkville
10	11	11	13	11	Waco
12	12	8	12	12	Waco
13	9	15	13	10	Yorkville
15	12	9	9	13	Yorkville
17	15	11	6	14	Waco
13	10	13	12	6	Waco
12	14	12	9	12	Waco
13	7	15	15	11	Yorkville
8	7	13	14	17	Waco
11	16	7	15	11	Waco
11	9	13	9	16	Yorkville
8	17	11	13	9	Waco
15	9	15	8	14	Yorkville
10	9	14	10	15	Waco
11	10	18	10	10	Yorkville
7	14	12	16	10	Yorkville
8	16	13	9	13	Yorkville
7	8	15	13	14	Waco
9	17	10	10	14	Yorkville
14	5	14	11	15	Waco
13	13	9	11	13	Waco
16	11	17	9	6	Waco
7	11	12	14	16	Yorkville
14	5	15	12	12	Yorkville
18	10	17	8	6	Waco
12	12	14	10	10	Yorkville
