child,father,child_95,child_90,child_75,child_50,child_25,child_10,child_5
73.2,78.5,73.2,73.2,73.2,,,,
69.2,78.5,69.2,69.2,69.2,,,,69.2
69.0,78.5,69.0,69.0,69.0,69.0,,,
69.0,78.5,69.0,69.0,,69.0,,,
73.5,75.5,73.5,73.5,,73.5,73.5,,
72.5,75.5,72.5,72.5,72.5,,,,
65.5,75.5,65.5,65.5,65.5,,,,
65.5,75.5,65.5,65.5,65.5,65.5,,,
71.0,75.0,71.0,71.0,71.0,,,,71.0
68.0,75.0,68.0,68.0,68.0,68.0,,,
70.5,75.0,70.5,,70.5,70.5,,,
68.5,75.0,68.5,68.5,68.5,68.5,68.5,,
67.0,75.0,67.0,67.0,67.0,,,,
64.5,75.0,64.5,64.5,64.5,,,,
63.0,75.0,63.0,63.0,63.0,,,,
72.0,75.0,72.0,72.0,,,,,
69.0,75.0,69.0,,69.0,69.0,,69.0,
68.0,75.0,68.0,68.0,68.0,,,,
66.5,75.0,66.5,66.5,66.5,66.5,,,
62.5,75.0,62.5,62.5,62.5,,,,
62.5,75.0,,62.5,,62.5,,,
69.5,74.0,69.5,69.5,,,,,
76.5,74.0,76.5,76.5,76.5,76.5,76.5,,
74.0,74.0,74.0,74.0,74.0,,,,
73.0,74.0,73.0,73.0,73.0,,73.0,,
73.0,74.0,73.0,73.0,73.0,73.0,73.0,,
70.5,74.0,70.5,70.5,70.5,70.5,,,
64.0,74.0,64.0,64.0,64.0,,,,
70.5,74.0,70.5,70.5,70.5,,70.5,,
68.0,74.0,68.0,68.0,,68.0,,,
66.0,74.0,66.0,66.0,66.0,,,,
66.0,74.5,66.0,,,66.0,66.0,,
65.5,74.0,65.5,65.5,65.5,65.5,65.5,,
74.0,74.0,74.0,74.0,,74.0,,,
70.0,74.0,,70.0,70.0,,,,
68.0,74.0,68.0,68.0,,,68.0,,
67.0,74.0,67.0,,67.0,67.0,,,
67.0,74.0,67.0,67.0,67.0,67.0,,,
66.0,74.0,66.0,66.0,66.0,66.0,66.0,,
63.5,74.0,63.5,63.5,,,,,
63.0,74.0,63.0,63.0,,63.0,63.0,,
65.0,74.0,65.0,65.0,65.0,65.0,,,
71.0,73.0,71.0,71.0,71.0,,,,
62.0,73.0,62.0,62.0,62.0,,62.0,,
68.0,73.0,68.0,68.0,68.0,,,,
67.0,73.0,67.0,67.0,,,67.0,,
71.0,73.0,71.0,71.0,,,,,
70.5,73.0,70.5,70.5,70.5,70.5,,,
66.7,73.0,66.7,66.7,66.7,,,,
72.0,73.0,72.0,72.0,72.0,,,,
70.5,73.0,70.5,70.5,,,,,
70.2,73.0,,70.2,70.2,,,,
70.2,73.0,70.2,70.2,70.2,70.2,,,
69.2,73.0,69.2,69.2,69.2,69.2,,,
68.7,73.0,68.7,68.7,68.7,,,,
66.5,73.0,66.5,66.5,66.5,66.5,,,
64.5,73.0,64.5,64.5,,64.5,,,
63.5,73.0,63.5,63.5,63.5,63.5,,,
74.0,73.0,74.0,74.0,74.0,74.0,,,
73.0,73.0,73.0,73.0,,,73.0,,
71.5,73.0,71.5,71.5,71.5,71.5,,,
62.5,73.0,62.5,62.5,62.5,62.5,,,
66.5,73.0,66.5,66.5,,66.5,,,
62.3,73.0,62.3,62.3,62.3,62.3,,,
66.0,73.0,66.0,66.0,66.0,,66.0,,
64.5,73.0,64.5,64.5,64.5,64.5,,,
64.0,73.0,64.0,64.0,64.0,64.0,,,
62.7,73.2,62.7,62.7,62.7,,,,
73.2,72.7,73.2,73.2,73.2,,,,
73.0,72.7,73.0,73.0,,,,,
72.7,72.7,72.7,72.7,72.7,,,,
70.0,72.7,,70.0,70.0,,,,
69.0,72.7,69.0,69.0,69.0,69.0,,,
68.5,72.7,68.5,68.5,68.5,,,68.5,
68.0,72.7,68.0,,68.0,68.0,68.0,,
