Year,Homeruns
1900,254
1901,455
1902,354
1903,335
1904,331
1905,338
1906,261
1907,244
1908,267
1909,259
1910,361
1911,514
1912,442
1913,470
1914,710
1915,635
1916,383
1917,335
1918,235
1919,447
1920,630
1921,937
1922,1055
1923,980
1924,896
1925,1169
1926,863
1927,922
1928,1093
1929,1349
1930,1565
1931,1069
1932,1358
1933,1067
1934,1344
1935,1325
1936,1364
1937,1430
1938,1475
1939,1445
1940,1571
1941,1331
1942,1071
1943,905
1944,1034
1945,1007
1946,1215
1947,1565
1948,1555
1949,1704
1950,2073
1951,1863
1952,1701
1953,2076
1954,1937
1955,2224
1956,2294
1957,2202
1958,2240
1959,2250
1960,2128
1961,2730
1962,3001
1963,2704
1964,2762
1965,2688
1966,2743
1967,2299
1968,1995
1969,3119
1970,3429
1971,2863
1972,2534
1973,3102
1974,2649
1975,2698
1976,2235
1977,3644
1978,2956
1979,3433
1980,3087
1981,1781
1982,3379
1983,3301
1984,3258
1985,3602
1986,3813
1987,4458
1988,3180
1989,3083
1990,3317
1991,3383
1992,3038
1993,4030
1994,3306
1995,4081
1996,4962
1997,4640
1998,5064
1999,5528
2000,5693
2001,5458
2002,5059
2003,5207
2004,5451
2005,5017
2006,5386
2007,4957
2008,4878
2009,5042
2010,4613
2011,4552
2012,4934
2013,4661
2014,4186
2015,4909
2016,5610
2017,6105
2018,5585
2019,6776
