father,mother,children,childNum,gender,childHeight
78.5,67.0,4,1,1,73.2
78.5,67.0,4,2,0,69.2
78.5,67.0,4,3,0,69.0
78.5,67.0,4,4,0,69.0
75.5,66.5,4,1,1,73.5
75.5,66.5,4,2,1,72.5
75.5,66.5,4,3,0,65.5
75.5,66.5,4,4,0,65.5
75.0,64.0,2,1,1,71.0
75.0,64.0,2,2,0,68.0
75.0,64.0,5,1,1,70.5
75.0,64.0,5,2,1,68.5
75.0,64.0,5,3,0,67.0
75.0,64.0,5,4,0,64.5
75.0,64.0,5,5,0,63.0
75.0,58.5,6,1,1,72.0
75.0,58.5,6,2,1,69.0
75.0,58.5,6,3,1,68.0
75.0,58.5,6,4,0,66.5
75.0,58.5,6,5,0,62.5
75.0,58.5,6,6,0,62.5
74.0,68.0,1,1,0,69.5
74.0,68.0,6,1,1,76.5
74.0,68.0,6,2,1,74.0
74.0,68.0,6,3,1,73.0
74.0,68.0,6,4,1,73.0
74.0,68.0,6,5,0,70.5
74.0,68.0,6,6,0,64.0
74.0,66.5,3,1,0,70.5
74.0,66.5,3,2,0,68.0
74.0,66.5,3,3,0,66.0
74.5,66.0,1,1,0,66.0
74.0,65.5,1,1,0,65.5
74.0,62.0,8,1,1,74.0
74.0,62.0,8,2,1,70.0
74.0,62.0,8,3,0,68.0
74.0,62.0,8,4,0,67.0
74.0,62.0,8,5,0,67.0
74.0,62.0,8,6,0,66.0
74.0,62.0,8,7,0,63.5
74.0,62.0,8,8,0,63.0
74.0,61.0,1,1,0,65.0
73.0,67.0,2,1,1,71.0
73.0,67.0,2,2,0,62.0
73.0,67.0,2,1,1,68.0
73.0,67.0,2,2,1,67.0
73.0,66.5,3,1,1,71.0
73.0,66.5,3,2,1,70.5
73.0,66.5,3,3,0,66.7
73.0,65.0,9,1,1,72.0
73.0,65.0,9,2,1,70.5
73.0,65.0,9,3,1,70.2
73.0,65.0,9,4,1,70.2
73.0,65.0,9,5,1,69.2
73.0,65.0,9,6,0,68.7
73.0,65.0,9,7,0,66.5
73.0,65.0,9,8,0,64.5
73.0,65.0,9,9,0,63.5
73.0,64.5,6,1,1,74.0
73.0,64.5,6,2,1,73.0
73.0,64.5,6,3,1,71.5
73.0,64.5,6,4,1,62.5
73.0,64.5,6,5,0,66.5
73.0,64.5,6,6,0,62.3
73.0,64.0,3,1,0,66.0
73.0,64.0,3,2,0,64.5
73.0,64.0,3,3,0,64.0
73.2,63.0,1,1,0,62.7
72.7,69.0,8,1,1,73.2
72.7,69.0,8,2,1,73.0
72.7,69.0,8,3,1,72.7
72.7,69.0,8,4,0,70.0
72.7,69.0,8,5,0,69.0
72.7,69.0,8,6,0,68.5
72.7,69.0,8,7,0,68.0
72.7,69.0,8,8,0,66.0
72.0,68.0,3,1,1,73.0
72.0,68.0,3,2,0,68.5
72.0,68.0,3,3,0,68.0
72.0,67.0,3,1,1,73.0
72.0,67.0,3,2,1,71.0
72.0,67.0,3,3,0,67.0
72.0,65.0,7,1,1,74.2
72.0,65.0,7,2,1,70.5
72.0,65.0,7,3,1,69.5
72.0,65.0,7,4,0,66.0
72.0,65.0,7,5,0,65.5
72.0,65.0,7,6,0,65.0
72.0,65.0,7,7,0,65.0
72.0,65.5,1,1,0,65.5
