vin,car_make,car_year,car_color
3D7TT2CT8BG121773,Audi,2008,Teal
SCBZB25E62C073475,Audi,1996,Mauv
1FT7W2A69EE682086,,,Turquoise
1B3AZ6JZ7AV582128,Ford,2010,Goldenrod
1GYUCGEF4AR632425,Mazda,1996,Purple
WAUEFBFL6AN611167,Hyundai,1995,Blue
WAUMGBFL8AA525066,Mazda,2009,Yellow
WBAYA8C59ED539915,GMC,2011,
1GYS3DEF3DR894463,Nissan,2008,
1C3CDFCA2DD866519,Toyota,1998,
2LNBL8CV1AX594800,,,Orange
WBAUL7C58CV665984,Lincoln,1996,Khaki
3GYFNCE38ES351684,Mercedes-Benz,2011,Purple
SAJWA4EC6DM601673,Ford,2008,Aquamarine
WAUXF78K59A851226,Dodge,1995,Purple
JTHDU1EF6A5670583,Buick,2004,Teal
1FTEX1CM9DF463308,Mitsubishi,2003,Pink
4A37L3ET0AE578045,Mitsubishi,1993,Yellow
SAJWA6E7XE8237640,Volvo,1997,Red
ZFBCFABH3FZ963325,Subaru,1985,Pink
1G6YV34A045093414,Subaru,1989,
WAULC68E15A800280,Mercedes-Benz,2001,Puce
5N1AA0ND0FN783941,BMW,2008,Yellow
19UYA41743A756918,,,Purple
1GYEE437090967383,Chrysler,2009,
3GYFK62887G943621,,,Purple
WAUUL98EX7A865475,Suzuki,2012,Goldenrod
SCFEBBCF8BG756067,Chevrolet,2009,Teal
1D7RE3BK3BS293513,Lexus,2006,Turquoise
3C6TD4HTXCG797288,,,Mauv
KMHCM3AC4BU835084,BMW,2001,Aquamarine
WDDEJ7KB6AA698237,Acura,1999,Purple
JTJBJRBZ8F2522150,Volkswagen,2008,Puce
5N1AA0NC5DN295072,Pontiac,2010,Red
SCFBB03B17G562265,BMW,2010,Turquoise
JTDJTUD34ED080801,Dodge,1998,Puce
1GYFK53229R572026,Dodge,1994,Puce
WAURVAFA6AN937239,Saab,1999,Puce
WA1DMAFP5EA248501,GMC,2007,Goldenrod
1C6RD7NT7CS203653,Pontiac,1989,Green
WAUGL98E55A933837,Chevrolet,1996,Fuscia
KM8NU4CC2BU147757,Chevrolet,2009,Orange
WBALZ5C52CD665158,Chevrolet,2006,Orange
3C63DPGL8CG061002,,,Khaki
3C4PDCEG0DT145882,Lincoln,2011,Green
WBADT53413C224432,Kia,2008,Aquamarine
ML32A3HJXFH509384,Lexus,2007,Orange
1FTSW3A52AE823338,,,Fuscia
5GAKRDED9CJ353872,Toyota,2012,Red
2T1KE4EE2BC058299,Mazda,2001,Blue
2B3CJ5DT5AH559232,Ford,2001,Goldenrod
2C3CCAST5CH699082,Plymouth,1978,Khaki
3GYFK22249G029485,Honda,2000,
WA1WMBFEXCD109151,Mitsubishi,1991,Mauv
1FTSW2A50AE569574,BMW,2001,Blue
4A31K2DF1BE206553,Toyota,2004,
WBAWB335X7P528687,Ford,1994,Yellow
1GD22XEG5FZ984148,Ford,2005,Khaki
WBA5B3C51FD052454,Volkswagen,1990,Crimson
5N1CR2MNXEC081367,Ford,1989,Turquoise
2B3CK2CV8AH057085,Kia,2005,Crimson
WAUPEAFM1DA683226,Toyota,1995,Aquamarine
JHMZE2H30DS464370,Honda,2011,Orange
1G6DK5ED1B0914560,Ford,1990,Red
YV1672MS5B2814711,Porsche,2010,Goldenrod
WBA3T7C53F5945196,Suzuki,2009,Mauv
