family,father,mother,children,childNum,gender,childHeight
1,78.5,67.0,4,1,male,73.2
1,78.5,67.0,4,2,female,69.2
1,78.5,67.0,4,3,female,69.0
1,78.5,67.0,4,4,female,69.0
2,75.5,66.5,4,1,male,73.5
2,75.5,66.5,4,2,male,72.5
2,75.5,66.5,4,3,female,65.5
2,75.5,66.5,4,4,female,65.5
3,75.0,64.0,2,1,male,71.0
3,75.0,64.0,2,2,female,68.0
4,75.0,64.0,5,1,male,70.5
4,75.0,64.0,5,2,male,68.5
4,75.0,64.0,5,3,female,67.0
4,75.0,64.0,5,4,female,64.5
4,75.0,64.0,5,5,female,63.0
5,75.0,58.5,6,1,male,72.0
5,75.0,58.5,6,2,male,69.0
5,75.0,58.5,6,3,male,68.0
5,75.0,58.5,6,4,female,66.5
5,75.0,58.5,6,5,female,62.5
5,75.0,58.5,6,6,female,62.5
6,74.0,68.0,1,1,female,69.5
7,74.0,68.0,6,1,male,76.5
7,74.0,68.0,6,2,male,74.0
7,74.0,68.0,6,3,male,73.0
7,74.0,68.0,6,4,male,73.0
7,74.0,68.0,6,5,female,70.5
7,74.0,68.0,6,6,female,64.0
8,74.0,66.5,3,1,female,70.5
8,74.0,66.5,3,2,female,68.0
8,74.0,66.5,3,3,female,66.0
9,74.5,66.0,1,1,female,66.0
10,74.0,65.5,1,1,female,65.5
11,74.0,62.0,8,1,male,74.0
11,74.0,62.0,8,2,male,70.0
11,74.0,62.0,8,3,female,68.0
11,74.0,62.0,8,4,female,67.0
11,74.0,62.0,8,5,female,67.0
11,74.0,62.0,8,6,female,66.0
11,74.0,62.0,8,7,female,63.5
11,74.0,62.0,8,8,female,63.0
12,74.0,61.0,1,1,female,65.0
13,73.0,67.0,2,1,male,71.0
13,73.0,67.0,2,2,female,62.0
14,73.0,67.0,2,1,male,68.0
14,73.0,67.0,2,2,male,67.0
15,73.0,66.5,3,1,male,71.0
15,73.0,66.5,3,2,male,70.5
15,73.0,66.5,3,3,female,66.7
16,73.0,65.0,9,1,male,72.0
16,73.0,65.0,9,2,male,70.5
16,73.0,65.0,9,3,male,70.2
16,73.0,65.0,9,4,male,70.2
16,73.0,65.0,9,5,male,69.2
16,73.0,65.0,9,6,female,68.7
16,73.0,65.0,9,7,female,66.5
16,73.0,65.0,9,8,female,64.5
16,73.0,65.0,9,9,female,63.5
17,73.0,64.5,6,1,male,74.0
17,73.0,64.5,6,2,male,73.0
17,73.0,64.5,6,3,male,71.5
17,73.0,64.5,6,4,male,62.5
17,73.0,64.5,6,5,female,66.5
17,73.0,64.5,6,6,female,62.3
18,73.0,64.0,3,1,female,66.0
18,73.0,64.0,3,2,female,64.5
18,73.0,64.0,3,3,female,64.0
19,73.2,63.0,1,1,female,62.7
20,72.7,69.0,8,1,male,73.2
20,72.7,69.0,8,2,male,73.0
20,72.7,69.0,8,3,male,72.7
20,72.7,69.0,8,4,female,70.0
20,72.7,69.0,8,5,female,69.0
20,72.7,69.0,8,6,female,68.5
20,72.7,69.0,8,7,female,68.0
20,72.7,69.0,8,8,female,66.0
21,72.0,68.0,3,1,male,73.0
21,72.0,68.0,3,2,female,68.5
21,72.0,68.0,3,3,female,68.0
22,72.0,67.0,3,1,male,73.0
22,72.0,67.0,3,2,male,71.0
22,72.0,67.0,3,3,female,67.0
23,72.0,65.0,7,1,male,74.2
23,72.0,65.0,7,2,male,70.5
23,72.0,65.0,7,3,male,69.5
23,72.0,65.0,7,4,female,66.0
23,72.0,65.0,7,5,female,65.5
23,72.0,65.0,7,6,female,65.0
23,72.0,65.0,7,7,female,65.0
24,72.0,65.5,1,1,female,65.5
25,72.0,64.0,2,1,female,66.0
25,72.0,64.0,2,2,female,63.0
26,72.0,63.0,5,1,male,70.5
26,72.0,63.0,5,2,male,70.5
26,72.0,63.0,5,3,male,69.0
26,72.0,63.0,5,4,female,65.0
26,72.0,63.0,5,5,female,63.0
27,72.0,63.0,3,1,male,69.0
27,72.0,63.0,3,2,male,67.0
27,72.0,63.0,3,3,female,63.0
28,72.0,63.0,6,1,male,73.0
28,72.0,63.0,6,2,male,67.0
28,72.0,63.0,6,3,female,70.5
28,72.0,63.0,6,4,female,70.0
28,72.0,63.0,6,5,female,66.5
28,72.0,63.0,6,6,female,63.0
29,72.5,63.5,3,1,female,67.5
29,72.5,63.5,3,2,female,67.2
29,72.5,63.5,3,3,female,66.7
30,72.0,62.0,1,1,female,64.0
31,72.5,62.0,6,1,male,71.0
31,72.5,62.0,6,2,male,70.0
31,72.5,62.0,6,3,male,70.0
31,72.5,62.0,6,4,female,66.0
31,72.5,62.0,6,5,female,65.0
31,72.5,62.0,6,6,female,65.0
32,72.0,62.0,5,1,male,74.0
32,72.0,62.0,5,2,male,72.0
32,72.0,62.0,5,3,male,69.0
32,72.0,62.0,5,4,female,67.5
32,72.0,62.0,5,5,female,63.5
33,72.0,62.0,5,1,male,72.0
33,72.0,62.0,5,2,male,71.5
33,72.0,62.0,5,3,male,71.5
33,72.0,62.0,5,4,male,70.0
33,72.0,62.0,5,5,female,68.0
34,72.0,61.0,1,1,female,65.7
35,71.0,69.0,5,1,male,78.0
35,71.0,69.0,5,2,male,74.0
35,71.0,69.0,5,3,male,73.0
35,71.0,69.0,5,4,male,72.0
35,71.0,69.0,5,5,female,67.0
36,71.0,67.0,4,1,male,73.2
36,71.0,67.0,4,2,male,73.0
36,71.0,67.0,4,3,male,69.0
36,71.0,67.0,4,4,female,67.0
37,71.0,66.0,4,1,male,70.0
37,71.0,66.0,4,2,female,67.0
37,71.0,66.0,4,3,female,67.0
37,71.0,66.0,4,4,female,66.5
38,71.0,66.0,6,1,male,70.0
38,71.0,66.0,6,2,male,69.0
38,71.0,66.0,6,3,male,68.5
38,71.0,66.0,6,4,female,66.0
38,71.0,66.0,6,5,female,64.5
38,71.0,66.0,6,6,female,63.0
39,71.0,66.0,2,1,male,71.0
39,71.0,66.0,2,2,female,67.0
40,71.0,66.0,5,1,male,76.0
40,71.0,66.0,5,2,male,72.0
40,71.0,66.0,5,3,male,71.0
40,71.0,66.0,5,4,male,66.0
40,71.0,66.0,5,5,female,66.0
41,71.7,65.5,1,1,male,70.5
42,71.0,65.5,6,1,male,72.0
42,71.0,65.5,6,2,male,72.0
42,71.0,65.5,6,3,male,71.0
42,71.0,65.5,6,4,male,69.0
42,71.0,65.5,6,5,female,66.0
42,71.0,65.5,6,6,female,65.0
43,71.5,65.5,2,1,male,73.0
43,71.5,65.5,2,2,female,65.2
44,71.5,65.0,2,1,male,68.5
44,71.5,65.0,2,2,male,67.7
45,71.0,65.0,3,1,male,68.0
45,71.0,65.0,3,2,male,68.0
45,71.0,65.0,3,3,female,62.0
46,71.0,64.0,8,1,female,68.0
46,71.0,64.0,8,2,female,68.0
46,71.0,64.0,8,3,female,67.5
46,71.0,64.0,8,4,female,66.5
46,71.0,64.0,8,5,female,66.5
46,71.0,64.0,8,6,female,66.0
46,71.0,64.0,8,7,female,65.5
46,71.0,64.0,8,8,female,65.0
47,71.7,64.5,4,1,male,72.0
47,71.7,64.5,4,2,male,71.0
47,71.7,64.5,4,3,male,70.5
47,71.7,64.5,4,4,female,67.0
48,71.0,64.0,3,1,male,68.0
48,71.0,64.0,3,2,male,68.0
48,71.0,64.0,3,3,male,68.0
49,71.5,64.5,7,1,male,72.0
49,71.5,64.5,7,2,male,71.0
49,71.5,64.5,7,3,male,70.0
49,71.5,64.5,7,4,female,66.0
49,71.5,64.5,7,5,female,64.5
49,71.5,64.5,7,6,female,64.5
49,71.5,64.5,7,7,female,62.0
50,71.0,64.5,2,1,male,73.0
50,71.0,64.5,2,2,female,62.0
51,71.2,63.0,2,1,female,67.5
51,71.2,63.0,2,2,female,64.5
52,71.0,63.5,5,1,male,71.0
52,71.0,63.5,5,2,male,67.0
52,71.0,63.5,5,3,female,66.0
52,71.0,63.5,5,4,female,65.0
52,71.0,63.5,5,5,female,63.5
53,71.0,63.0,9,1,male,71.0
53,71.0,63.0,9,2,male,70.0
53,71.0,63.0,9,3,male,70.0
53,71.0,63.0,9,4,male,64.0
53,71.0,63.0,9,5,female,65.0
53,71.0,63.0,9,6,female,65.0
53,71.0,63.0,9,7,female,64.0
53,71.0,63.0,9,8,female,63.0
53,71.0,63.0,9,9,female,63.0
54,71.0,63.0,4,1,male,71.0
54,71.0,63.0,4,2,male,71.0
54,71.0,63.0,4,3,male,70.0
54,71.0,63.0,4,4,female,63.5
55,71.0,62.0,5,1,male,71.0
55,71.0,62.0,5,2,male,70.0
55,71.0,62.0,5,3,female,64.5
55,71.0,62.0,5,4,female,62.5
55,71.0,62.0,5,5,female,61.5
56,71.0,62.0,5,1,male,72.0
56,71.0,62.0,5,2,male,70.5
56,71.0,62.0,5,3,male,70.5
56,71.0,62.0,5,4,female,64.5
56,71.0,62.0,5,5,female,60.0
57,71.0,62.5,5,1,male,70.0
57,71.0,62.5,5,2,female,64.0
57,71.0,62.5,5,3,female,64.0
57,71.0,62.5,5,4,female,64.0
57,71.0,62.5,5,5,female,62.5
