PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14721419,SI,JR,99.7352791173247,100.0,00:00:00,84.99017083147388,100.0,00:00:00,75.28263198246907,85.0,00:00:00,91.10635350523728,100.0,252:56:22,15.0,15.0,00:00:00,100.0,100.0,00:00:00,70.0,70.0,00:00:00,9.53467820669518,10.0,00:00:00,47.0,47.0,00:00:00,84.53404877591824,85.0,00:00:00,10.0,10.0,00:00:00,97.2851312907722,100.0,382:51:44,75.0,75.0,00:00:00,19.95542073907534,25.0,00:00:00,88.79171164022858,100.0,00:00:00,43.7456503053522,50.0,00:00:00,4.6076347289261355,10.0,00:00:00,85.51958320208635,100.0,00:00:00,73.0217690316378,87.0,00:00:00,780:01:28,22.467797417013536,25,00:00:00,68.23098524196485,75,00:00:00,73.91701954264867,75,00:00:00,10.0,10,00:00:00,10.0,10,780:01:28,10.0,10,00:00:00,9.575959110945215,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,8.895293640139379,10,00:00:00,10.0,10,780:01:28,10.0,10,00:00:00
A14883274,TH,JR,98.82947595133729,100.0,00:00:00,50.784230746799636,100.0,00:00:00,52.92948219887968,85.0,00:00:00,71.44769854600158,100.0,00:00:00,9.987088942043286,15.0,00:00:00,78.36724442157465,100.0,00:00:00,70.0,70.0,00:00:00,8.40830411090871,10.0,00:00:00,42.87180088299955,47.0,00:00:00,83.70098308809882,85.0,645:24:50,9.359045723848327,10.0,00:00:00,91.40606333272518,100.0,00:00:00,62.9260746882554,75.0,00:00:00,25.0,25.0,00:00:00,94.43777804759739,100.0,00:00:00,45.14885715839415,50.0,00:00:00,0.0,10.0,00:00:00,88.20103490519813,100.0,00:00:00,70.9217683914869,87.0,00:00:00,669:12:21,19.72967977961169,25,00:00:00,49.884266199424225,75,00:00:00,57.68036978156577,75,669:12:21,7.680707728751613,10,00:00:00,8.79291793528325,10,669:12:21,9.085921489703216,10,00:00:00,7.3084122459301035,10,669:12:21,9.868391752980534,10,00:00:00,10.0,10,00:00:00,6.956713066258486,10,669:12:21,9.022406575393923,10,00:00:00,9.020282736433336,10,00:00:00,9.437368067051244,10,00:00:00
A14164800,SI,SR,86.51336947528893,100.0,00:00:00,47.80281961002044,100.0,00:00:00,46.122800885350486,85.0,00:00:00,43.366716377326426,100.0,00:00:00,15.0,15.0,00:00:00,73.8874774401977,100.0,00:00:00,64.94867742721694,70.0,00:00:00,8.957844508141289,10.0,00:00:00,37.788579156224024,47.0,00:00:00,73.32858435354275,85.0,764:40:45,8.048606814768881,10.0,00:00:00,73.40697394098758,100.0,00:04:51,62.29093832242961,75.0,00:00:00,25.0,25.0,00:00:00,71.82041285370127,100.0,00:00:00,37.89202383583106,50.0,00:00:00,6.662133406597128,10.0,00:00:00,77.04370834937198,100.0,00:00:00,74.10346310871405,87.0,00:00:00,828:47:53,13.069564247453755,25,00:00:00,41.54830790718894,75,764:40:45,46.71496255237109,75,00:00:00,5.662351174938953,10,00:00:00,9.834749472133417,10,00:00:00,6.752506311954616,10,00:00:00,6.772810939732391,10,00:00:00,7.0261179601873565,10,00:00:00,8.061982817441908,10,00:00:00,7.959132586384883,10,00:00:00,3.0305380938169515,10,00:04:51,7.613697842607362,10,00:00:00,9.624617015947178,10,00:00:00
A14847419,TH,JR,100.0,100.0,00:00:00,100.0,100.0,00:00:00,79.12180589676296,85.0,00:00:00,92.59032332064349,100.0,00:00:00,13.286839454746382,15.0,00:00:00,95.06142683446826,100.0,00:00:00,62.41294624873632,70.0,00:00:00,5.523736578370416,10.0,00:00:00,44.514094543774426,47.0,00:00:00,58.514234679147336,85.0,00:00:00,3.479249758578053,10.0,00:00:00,98.5370860628656,100.0,00:00:00,70.55831075554154,75.0,00:00:00,25.0,25.0,00:00:00,96.3306838297458,100.0,00:00:00,38.89401228902825,50.0,00:00:00,0.0,10.0,00:00:00,94.29943866872308,100.0,00:00:00,74.87653466810399,87.0,00:00:00,120:01:11,25.0,25,00:00:00,74.26789698265326,75,00:00:00,75.0,75,00:00:00,10.0,10,00:00:00,9.106102464846856,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.560133152535645,10,00:00:00,10.0,10,00:00:00,8.75642403478739,10,00:00:00,10.0,10,00:00:00,9.24912600155255,10,00:00:00,10.0,10,00:00:00
A14162943,SI,JR,66.50697423962168,100.0,00:00:00,33.42241162333109,100.0,00:00:00,41.82370294524609,85.0,00:00:00,70.69324852444934,100.0,00:00:00,15.0,15.0,00:00:00,83.10162174210501,100.0,47:42:33,46.18041619335371,70.0,00:00:00,1.5329433886784198,10.0,00:00:00,19.570629374965815,47.0,00:00:00,62.16429333974683,85.0,00:00:00,2.131055677101054,10.0,00:00:00,60.78585465230695,100.0,00:00:00,71.04332813818809,75.0,00:00:00,25.0,25.0,00:00:00,37.01860602897598,100.0,00:00:00,50.0,50.0,00:00:00,1.3481549246713214,10.0,00:00:00,90.80575421350545,100.0,00:00:00,67.15588075259765,87.0,00:00:00,93:16:10,14.889446715286274,25,00:00:00,44.48430207393508,75,00:00:00,50.848312052955784,75,00:00:00,6.439116071301969,10,00:00:00,8.623868938837589,10,00:00:00,8.061220593105835,10,00:00:00,9.826538642709362,10,00:00:00,9.729091099849612,10,00:00:00,9.812185255085037,10,00:00:00,5.960110631426352,10,00:00:00,4.439606276407108,10,00:00:00,4.485291333335697,10,00:00:00,6.282712443071434,10,00:00:00
A14282114,RE,SR,92.82187631169819,100.0,00:00:00,100.0,100.0,00:00:00,67.80738174567772,85.0,00:00:00,100.0,100.0,00:00:00,15.0,15.0,00:00:00,97.3057777244274,100.0,00:00:00,69.6428787063548,70.0,00:00:00,1.4458007921955738,10.0,00:00:00,43.18642521053797,47.0,00:00:00,80.23490664107975,85.0,00:00:00,10.0,10.0,00:00:00,94.2872020286255,100.0,00:00:00,63.64603589559522,75.0,00:00:00,25.0,25.0,00:00:00,99.46933795308108,100.0,00:00:00,42.780419476826324,50.0,00:00:00,3.5016922903694367,10.0,00:00:00,100.0,100.0,00:00:00,78.71942210036809,87.0,00:00:00,00:00:00,20.395063167018527,25,00:00:00,68.51885010890787,75,00:00:00,72.5337795664608,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.63699830364198,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.77565906313568,10,00:00:00,10.0,10,00:00:00,8.416272736025148,10,00:00:00
A14297403,MU,SR,98.12032607426033,100.0,00:00:00,46.65029327620414,100.0,00:00:00,56.47287061364298,85.0,00:00:00,72.81998041835827,100.0,00:00:00,12.698359272331436,15.0,00:00:00,85.28593664764088,100.0,46:35:38,62.799060973719754,70.0,00:00:00,,10.0,00:00:00,35.71489156279169,47.0,00:00:00,64.90969792204854,85.0,00:00:00,,10.0,00:00:00,51.08211603437569,100.0,00:00:00,70.55841788280132,75.0,00:00:00,16.75813573216196,25.0,00:00:00,67.08145688965504,100.0,00:00:00,27.481569036598273,50.0,00:00:00,2.213834666700293,10.0,00:00:00,95.63377510842504,100.0,00:00:00,85.1382695446971,87.0,00:00:00,46:35:38,20.20353934605067,25,00:00:00,52.98949668343124,75,00:00:00,61.649516356522994,75,00:00:00,9.772034637035741,10,00:00:00,7.963944630087423,10,46:35:38,9.50882166087142,10,00:00:00,7.417667614784712,10,00:00:00,10.0,10,00:00:00,10.0,10,46:35:38,10.0,10,00:00:00,8.41540038507273,10,00:00:00,4.900130611849645,10,46:35:38,7.246750767310085,10,00:00:00
A14369624,WA,JR,100.0,100.0,00:00:00,99.63945427843409,100.0,00:00:00,82.82249049892178,85.0,00:00:00,96.46995081695171,100.0,00:00:00,14.250785968483765,15.0,00:00:00,99.65998060895024,100.0,04:09:52,70.0,70.0,00:00:00,9.479157065929435,10.0,00:00:00,45.1361898080178,47.0,00:00:00,80.77537604430965,85.0,00:00:00,3.175514450125877,10.0,00:00:00,92.4472230748644,100.0,00:00:00,61.37291306602248,75.0,00:00:00,22.719769626569963,25.0,00:00:00,92.56641488147798,100.0,00:00:00,50.0,50.0,00:00:00,0.0,10.0,00:00:00,96.92870909113111,100.0,00:00:00,87.0,87.0,00:00:00,04:09:52,21.11704700383033,25,00:00:00,75.0,75,00:00:00,75.0,75,00:00:00,8.875167126168744,10,00:00:00,10.0,10,00:00:00,9.952112332316212,10,00:00:00,10.0,10,00:00:00,9.91821930265447,10,00:00:00,10.0,10,00:00:00,10.0,10,04:09:52,10.0,10,00:00:00,9.595310162937748,10,00:00:00,10.0,10,00:00:00
A14137484,FI,SR,91.53484104950037,100.0,00:00:00,100.0,100.0,00:00:00,69.06882264281997,85.0,00:00:00,99.79028994243295,100.0,00:00:00,10.18544051711143,15.0,00:00:00,95.05217346535836,100.0,42:06:36,70.0,70.0,00:00:00,10.0,10.0,00:00:00,31.622388568432456,47.0,00:00:00,84.47899103549182,85.0,362:42:24,10.0,10.0,00:00:00,85.86714381361361,100.0,00:00:00,70.93759014739844,75.0,00:00:00,25.0,25.0,00:00:00,66.16405673397408,100.0,00:00:00,50.0,50.0,00:00:00,9.6995110701455,10.0,00:00:00,94.45821607533527,100.0,00:00:00,85.00232451954535,87.0,00:00:00,534:39:53,19.57977084212392,25,00:00:00,60.477578553720285,75,00:00:00,68.73711855071866,75,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,9.042561611500307,10,00:00:00,8.699157713037284,10,00:00:00,8.460119925195551,10,00:00:00,8.892972331766032,10,00:00:00,9.63607179679011,10,00:00:00,9.059151384839128,10,42:06:36,9.984829759565615,10,00:00:00
A14353945,WA,JR,100.0,100.0,00:00:00,99.29543905552066,100.0,00:00:00,81.05702050415069,85.0,00:00:00,83.19419276421493,100.0,00:00:00,7.1825784720071715,15.0,00:00:00,89.11974538649271,100.0,47:53:28,62.18043543568235,70.0,00:00:00,8.332149449494576,10.0,00:00:00,46.1698758398395,47.0,00:00:00,79.83234857144387,85.0,442:00:09,10.0,10.0,00:00:00,93.09221478163468,100.0,00:00:00,75.0,75.0,00:00:00,22.268376399647995,25.0,00:00:00,52.60663590095196,100.0,00:00:00,36.7324445811989,50.0,00:00:00,2.7904679015407194,10.0,00:00:00,85.68559761908611,100.0,00:00:00,77.32780815326765,87.0,00:00:00,489:53:37,24.45373593132817,25,489:53:37,70.8868748576286,75,00:00:00,75.0,75,00:00:00,10.0,10,442:00:09,10.0,10,00:00:00,8.614568709666663,10,489:53:37,10.0,10,442:00:09,10.0,10,489:53:37,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00,10.0,10,00:00:00
