Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Province_State
Angola,2021-03-01,0,0.0,0.0,2021-03-01,24.0,
Angola,2021-03-02,0,0.0,0.0,2021-03-02,24.0,
Angola,2021-03-03,0,0.0,0.0,2021-03-03,24.0,
Angola,2021-03-04,0,0.0,0.0,2021-03-04,24.0,
Angola,2021-03-05,0,0.0,0.0,2021-03-05,24.0,
Angola,2021-03-06,0,0.0,0.0,2021-03-06,24.0,
Angola,2021-03-07,0,0.0,0.0,2021-03-07,24.0,
Angola,2021-03-08,6169,6169.0,0.0,2021-03-08,24.0,
Angola,2021-03-09,6169,6169.0,0.0,2021-03-09,24.0,
Angola,2021-03-10,6169,6169.0,0.0,2021-03-10,24.0,
Angola,2021-03-11,6169,6169.0,0.0,2021-03-11,24.0,
Angola,2021-03-12,6169,6169.0,0.0,2021-03-12,24.0,
Angola,2021-03-13,6169,6169.0,0.0,2021-03-13,24.0,
Angola,2021-03-14,6169,6169.0,0.0,2021-03-14,24.0,
Angola,2021-03-15,6169,6169.0,0.0,2021-03-15,24.0,
Angola,2021-03-16,6169,6169.0,0.0,2021-03-16,24.0,
Angola,2021-03-17,6169,6169.0,0.0,2021-03-17,24.0,
Angola,2021-03-18,49000,49000.0,0.0,2021-03-18,24.0,
Angola,2021-03-19,49000,49000.0,0.0,2021-03-19,24.0,
Angola,2021-03-20,49000,49000.0,0.0,2021-03-20,24.0,
Angola,2021-03-21,49000,49000.0,0.0,2021-03-21,24.0,
Angola,2021-03-22,49000,49000.0,0.0,2021-03-22,24.0,
Angola,2021-03-23,49000,49000.0,0.0,2021-03-23,24.0,
Angola,2021-03-24,87022,87022.0,0.0,2021-03-24,24.0,
Angola,2021-03-25,87022,87022.0,0.0,2021-03-25,24.0,
Angola,2021-03-26,87022,87022.0,0.0,2021-03-26,24.0,
Angola,2021-03-27,87022,87022.0,0.0,2021-03-27,24.0,
Angola,2021-03-28,87022,87022.0,0.0,2021-03-28,24.0,
Angola,2021-03-29,130750,130750.0,0.0,2021-03-29,24.0,
Angola,2021-03-30,130750,130750.0,0.0,2021-03-30,24.0,
Angola,2021-03-31,130750,130750.0,0.0,2021-03-31,24.0,
Angola,2021-04-01,130750,130750.0,0.0,2021-04-01,24.0,
Angola,2021-04-02,130750,130750.0,0.0,2021-04-02,24.0,
Angola,2021-04-03,130750,130750.0,0.0,2021-04-03,24.0,
Angola,2021-04-04,130750,130750.0,0.0,2021-04-04,24.0,
Angola,2021-04-05,130750,130750.0,0.0,2021-04-05,24.0,
Angola,2021-04-06,181578,181578.0,0.0,2021-04-06,24.0,
Angola,2021-04-07,181578,181578.0,0.0,2021-04-07,24.0,
Angola,2021-04-08,181578,181578.0,0.0,2021-04-08,24.0,
Angola,2021-04-09,181578,181578.0,0.0,2021-04-09,24.0,
Angola,2021-04-10,181578,181578.0,0.0,2021-04-10,24.0,
Angola,2021-04-11,245442,245442.0,0.0,2021-04-11,24.0,
Angola,2021-04-12,245442,245442.0,0.0,2021-04-12,24.0,
Angola,2021-04-13,245442,245442.0,0.0,2021-04-13,24.0,
Angola,2021-04-14,245442,245442.0,0.0,2021-04-14,24.0,
Angola,2021-04-15,245442,245442.0,0.0,2021-04-15,24.0,
Angola,2021-04-16,245442,245442.0,0.0,2021-04-16,24.0,
Angola,2021-04-17,245442,245442.0,0.0,2021-04-17,24.0,
Angola,2021-04-18,245442,245442.0,0.0,2021-04-18,24.0,
Angola,2021-04-19,395447,395447.0,0.0,2021-04-19,24.0,
Angola,2021-04-20,395447,395447.0,0.0,2021-04-20,24.0,
Angola,2021-04-21,395447,395447.0,0.0,2021-04-21,24.0,
Angola,2021-04-22,395447,395447.0,0.0,2021-04-22,24.0,
Angola,2021-04-23,456349,456349.0,0.0,2021-04-23,24.0,
Angola,2021-05-11,456349,456349.0,0.0,2021-05-12,24.0,
Angola,2021-05-12,626572,586377.0,40195.0,2021-05-13,24.0,
Angola,2021-05-13,626572,586377.0,40195.0,2021-05-14,24.0,
Angola,2021-05-14,626572,586377.0,40195.0,2021-05-15,24.0,
Angola,2021-05-15,626572,586377.0,40195.0,2021-05-16,24.0,
Angola,2021-05-16,626572,586377.0,40195.0,2021-05-17,24.0,
Angola,2021-05-17,626572,586377.0,40195.0,2021-05-18,24.0,
Angola,2021-05-18,681502,606287.0,75215.0,2021-05-19,24.0,
Angola,2021-05-19,681502,606287.0,75215.0,2021-05-20,24.0,
Angola,2021-05-20,681502,606287.0,75215.0,2021-05-21,24.0,
Angola,2021-05-21,757535,630984.0,126551.0,2021-05-22,24.0,
Angola,2021-05-22,757535,630984.0,126551.0,2021-05-23,24.0,
Angola,2021-05-23,757535,630984.0,126551.0,2021-05-24,24.0,
Angola,2021-05-24,757535,630984.0,126551.0,2021-05-25,24.0,
Angola,2021-05-25,757535,630984.0,126551.0,2021-05-26,24.0,
Angola,2021-05-26,859979,663049.0,196930.0,2021-05-27,24.0,
Angola,2021-05-27,859979,663049.0,196930.0,2021-05-28,24.0,
Angola,2021-05-28,859979,663049.0,196930.0,2021-05-29,24.0,
Angola,2021-05-29,859979,663049.0,196930.0,2021-05-30,24.0,
Angola,2021-05-30,859979,663049.0,196930.0,2021-05-31,24.0,
Angola,2021-05-31,909215,679034.0,230181.0,2021-06-01,24.0,
Venezuela,2021-02-17,0,0.0,0.0,2021-02-17,862.0,
Venezuela,2021-02-18,0,0.0,0.0,2021-02-18,862.0,
Venezuela,2021-02-19,0,0.0,0.0,2021-02-19,862.0,
Venezuela,2021-02-20,0,0.0,0.0,2021-02-20,862.0,
Venezuela,2021-02-21,0,0.0,0.0,2021-02-21,862.0,
Venezuela,2021-02-22,157,157.0,0.0,2021-02-22,862.0,
Venezuela,2021-02-23,157,157.0,0.0,2021-02-23,862.0,
Venezuela,2021-02-24,157,157.0,0.0,2021-02-24,862.0,
Venezuela,2021-02-25,157,157.0,0.0,2021-02-25,862.0,
Venezuela,2021-02-26,157,157.0,0.0,2021-02-26,862.0,
Venezuela,2021-02-27,157,157.0,0.0,2021-02-27,862.0,
Venezuela,2021-02-28,157,157.0,0.0,2021-02-28,862.0,
Venezuela,2021-03-01,157,157.0,0.0,2021-03-01,862.0,
Venezuela,2021-03-02,157,157.0,0.0,2021-03-02,862.0,
Venezuela,2021-03-03,157,157.0,0.0,2021-03-03,862.0,
Venezuela,2021-03-04,12194,12194.0,0.0,2021-03-04,862.0,
Venezuela,2021-03-05,12194,12194.0,0.0,2021-03-05,862.0,
Venezuela,2021-03-06,12194,12194.0,0.0,2021-03-06,862.0,
Venezuela,2021-03-07,12194,12194.0,0.0,2021-03-07,862.0,
Venezuela,2021-03-08,12194,12194.0,0.0,2021-03-08,862.0,
Venezuela,2021-03-09,12194,12194.0,0.0,2021-03-09,862.0,
Venezuela,2021-03-10,12194,12194.0,0.0,2021-03-10,862.0,
